Value,year,month
-0.67,1961,6
-1.13,1961,7
-0.91,1961,8
-1.42,1961,9
-1.79,1961,10
-1.81,1961,11
-2.04,1961,12
-1.37,1962,1
-1.32,1962,2
-1.28,1962,3
-1.24,1962,4
-1.34,1962,5
-1.9,1962,6
-1.97,1962,7
-0.74,1962,8
-1.54,1962,9
-1.7,1962,10
-0.56,1962,11
-0.43,1962,12
-0.11,1963,1
0.28,1963,2
-0.25,1963,3
-0.44,1963,4
-1.16,1963,5
-0.74,1963,6
-1.25,1963,7
-0.96,1963,8
0.79,1963,9
0.02,1963,10
-0.63,1963,11
0.07,1963,12
0.5,1964,1
0.31,1964,2
-0.6,1964,3
-1.14,1964,4
-2.22,1964,5
-0.61,1964,6
-0.98,1964,7
-1.26,1964,8
-1.09,1964,9
-0.52,1964,10
-0.57,1964,11
-0.61,1964,12
-0.86,1965,1
-0.57,1965,2
-0.16,1965,3
0.06,1965,4
-0.64,1965,5
-0.69,1965,6
-0.71,1965,7
0.38,1965,8
0.89,1965,9
0.32,1965,10
0.37,1965,11
0.22,1965,12
-0.69,1966,1
-0.42,1966,2
-1.05,1966,3
-0.35,1966,4
-0.69,1966,5
0.09,1966,6
-0.12,1966,7
-0.27,1966,8
-0.46,1966,9
-0.71,1966,10
-0.83,1966,11
-0.37,1966,12
-0.3,1967,1
-0.31,1967,2
-0.85,1967,3
-1.11,1967,4
-1.45,1967,5
-1.17,1967,6
-1.18,1967,7
-1.5,1967,8
-0.68,1967,9
-0.14,1967,10
0.35,1967,11
-0.7,1967,12
-0.72,1968,1
-0.29,1968,2
-0.08,1968,3
-0.8,1968,4
-0.8,1968,5
0.22,1968,6
0.5,1968,7
0.1,1968,8
0.35,1968,9
-0.08,1968,10
0.05,1968,11
-0.35,1968,12
-0.77,1969,1
-1.26,1969,2
-1.3,1969,3
-1.14,1969,4
-0.97,1969,5
0.88,1969,6
-0.42,1969,7
-0.85,1969,8
-0.98,1969,9
0.87,1969,10
0.57,1969,11
1.02,1969,12
1.02,1970,1
0.9,1970,2
1.03,1970,3
0.3,1970,4
-0.8,1970,5
0,1970,6
-0.85,1970,7
-1.53,1970,8
-1.47,1970,9
-1.02,1970,10
-0.86,1970,11
-0.92,1970,12
-1.44,1971,1
-1.65,1971,2
-1.84,1971,3
-1.86,1971,4
-1.78,1971,5
-1.72,1971,6
-2.42,1971,7
-0.32,1971,8
-0.1,1971,9
-0.32,1971,10
-1.28,1971,11
-1.81,1971,12
-2.12,1972,1
-2.1,1972,2
-1.78,1972,3
-1.79,1972,4
-2.19,1972,5
-2.08,1972,6
-1.67,1972,7
-0.13,1972,8
-0.01,1972,9
-0.09,1972,10
0.09,1972,11
-0.42,1972,12
-0.3,1973,1
-0.61,1973,2
-1.02,1973,3
-1.54,1973,4
-1.76,1973,5
-1.55,1973,6
-1.42,1973,7
-1.5,1973,8
-0.97,1973,9
-1.3,1973,10
-1.52,1973,11
-0.95,1973,12
-0.93,1974,1
-1.4,1974,2
-1.32,1974,3
-0.73,1974,4
-0.77,1974,5
-0.4,1974,6
-0.09,1974,7
-0.12,1974,8
0.77,1974,9
0.23,1974,10
0.75,1974,11
0.43,1974,12
-0.58,1975,1
-0.89,1975,2
-1.14,1975,3
-1.84,1975,4
-2.07,1975,5
-1.61,1975,6
-1.01,1975,7
